src/components/layout/command-menubar.tsx:348	attr:label	Recent folders
src/components/layout/command-menubar.tsx:369	jsx-text	No recent
src/components/layout/command-menubar.tsx:407	attr:label	Heading
src/components/layout/command-menubar.tsx:426	jsx-text	Line ending
src/components/layout/developer-tools.tsx:41	prop:description	Open the native webview inspector for console and network inspection.
src/components/layout/developer-tools.tsx:43	prop:label	Open DevTools
src/components/layout/developer-tools.tsx:47	prop:description	Reload the webview after a boundary fallback or stale HMR state.
src/components/layout/developer-tools.tsx:49	prop:label	Reload app (F5)
src/components/layout/developer-tools.tsx:55	prop:description	Throw during app-surface render; the helper should stay available.
src/components/layout/developer-tools.tsx:57	prop:label	Render document surface crash
src/components/layout/developer-tools.tsx:61	prop:description	Mimic a rejected command such as a failed native fullscreen call.
src/components/layout/developer-tools.tsx:63	prop:label	Command handler failure
src/components/layout/developer-tools.tsx:67	prop:description	Mimic opening a recent or sidebar article that no longer exists.
src/components/layout/developer-tools.tsx:69	prop:label	Missing file open
src/components/layout/developer-tools.tsx:73	prop:description	Mimic a stale open transition that should stay silent.
src/components/layout/developer-tools.tsx:75	prop:label	Cancelled open transition
src/components/layout/developer-tools.tsx:79	prop:description	Mimic an image resolution promise that escaped local handling.
src/components/layout/developer-tools.tsx:81	prop:label	Escaped image rejection
src/components/layout/developer-tools.tsx:85	prop:description	Mimic a native window event listener throwing outside React.
src/components/layout/developer-tools.tsx:87	prop:label	Window event listener throw
src/components/layout/developer-tools.tsx:91	prop:description	Mimic duplicate folder watcher refresh failures in the dedupe window.
src/components/layout/developer-tools.tsx:93	prop:label	Repeated watcher failure
src/components/layout/developer-tools.tsx:106	attr:aria-label	Open developer tools
src/components/layout/developer-tools.tsx:118	jsx-text	Developer tools
src/components/layout/developer-tools.tsx:129	attr:aria-label	Developer tools
src/components/layout/developer-tools.tsx:154	attr:aria-label	Failure simulations
src/components/layout/developer-tools.tsx:171	jsx-text	Failure simulations
src/components/layout/developer-tools.tsx:172	jsx-text	Open failure scenarios for testing error handling paths.
src/components/layout/developer-tools.tsx:179	jsx-text	Failure simulations
src/components/layout/developer-tools.tsx:180	jsx-text	Trigger real error-handling paths without changing app state.
src/components/layout/developer-tools.tsx:258	prose	Command failed.
src/components/layout/developer-tools.tsx:259	prose	Native fullscreen state update failed.
src/components/layout/developer-tools.tsx:278	prose	Command failed.
src/components/layout/developer-tools.tsx:279	prose	The previous open transition was cancelled.
src/components/layout/developer-tools.tsx:289	prose	Markdown image resolution escaped local handling.
src/components/layout/developer-tools.tsx:295	prose	Native window event listener failed while handling close.
src/components/layout/developer-tools.tsx:300	prose	Folder watcher refresh failed after a filesystem event.
src/components/layout/shell.tsx:79	prose	Hide sidebar
src/components/layout/shell.tsx:79	prose	Show sidebar
src/components/layout/shell.tsx:100	prose	Hide sidebar
src/components/layout/shell.tsx:101	prose	Show sidebar
src/components/layout/shell.tsx:102	prose	Open a folder to show the sidebar
src/components/layout/shell.tsx:138	attr:aria-label	Article navigator
src/components/layout/shell.tsx:150	attr:aria-label	Resize article navigator
src/components/layout/shell.tsx:156	attr:aria-label	Document surface
src/components/layout/status-bar.tsx:72	template	{}, {} without spaces
src/components/layout/status-bar.tsx:78	template	~{} min read
src/components/layout/status-bar.tsx:102	attr:aria-label	Status bar
src/components/layout/status-bar.tsx:189	template	Line ending: {}
src/components/layout/status-bar.tsx:233	template	Zoom {}, reset zoom
src/components/layout/unexpected-error-boundary.tsx:50	jsx-text	Something went wrong.
src/components/layout/unexpected-error-boundary.tsx:53	jsx-text	Restart Leafdown or reopen the current document.
src/components/screens/document-screen.tsx:44	attr:aria-label	Active document
src/components/screens/empty-folder-screen.tsx:13	jsx-text	No Markdown files found
src/components/screens/empty-folder-screen.tsx:16	jsx-text	Create a new document or open another folder.
src/components/screens/folder-only-screen.tsx:13	jsx-text	No document open
src/components/screens/folder-only-screen.tsx:16	jsx-text	Select a Markdown file from the sidebar or create a new document.
src/components/screens/welcome-screen.tsx:27	prose	Could not create document.
src/components/screens/welcome-screen.tsx:53	prop:title	Could not open recent Markdown file.
src/components/screens/welcome-screen.tsx:65	prop:title	Could not open recent folder.
src/components/screens/welcome-screen.tsx:86	jsx-text	Leafdown
src/components/screens/welcome-screen.tsx:89	jsx-text	Start a document, or open a Markdown file or folder.
src/components/screens/welcome-screen.tsx:95	jsx-text	New document
src/components/screens/welcome-screen.tsx:100	jsx-text	Open file
src/components/screens/welcome-screen.tsx:105	jsx-text	Open folder
src/components/screens/welcome-screen.tsx:115	attr:title	Recent files
src/components/screens/welcome-screen.tsx:125	attr:title	Recent folders
src/components/screens/welcome-screen.tsx:143	jsx-text	Clear recent items
src/components/screens/welcome-screen.tsx:285	template	Remove from {}
src/components/ui/dialog.tsx:117	jsx-text	Close
src/components/ui/dialog.tsx:147	jsx-text	Close
src/components/ui/toast.tsx:121	attr:aria-label	Close toast
src/features/diagnostics/components/diagnostics-dialog.tsx:66	prose	Diagnostics could not be loaded.
src/features/diagnostics/components/diagnostics-dialog.tsx:97	prose	Diagnostics summary copied.
src/features/diagnostics/components/diagnostics-dialog.tsx:100	prose	Could not copy diagnostics summary.
src/features/diagnostics/components/diagnostics-dialog.tsx:115	prose	Could not open logs folder.
src/features/diagnostics/components/diagnostics-dialog.tsx:127	jsx-text	Diagnostics
src/features/diagnostics/components/diagnostics-dialog.tsx:128	jsx-text	This installation and where it keeps its local logs.
src/features/diagnostics/components/diagnostics-dialog.tsx:137	jsx-text	Diagnostics could not be loaded.
src/features/diagnostics/components/diagnostics-dialog.tsx:162	template	Current log plus {} retained files, {} each
src/features/diagnostics/components/diagnostics-dialog.tsx:169	jsx-text	Diagnostics stay on this device.
src/features/diagnostics/components/diagnostics-dialog.tsx:170	jsx-text	Logs are not uploaded automatically. They may include local paths and user content captured inside error messages or stack traces.
src/features/diagnostics/components/diagnostics-dialog.tsx:185	jsx-text	Show summary
src/features/diagnostics/components/diagnostics-dialog.tsx:189	jsx-text	Diagnostics summary
src/features/diagnostics/components/diagnostics-dialog.tsx:205	jsx-text	Retry
src/features/diagnostics/components/diagnostics-dialog.tsx:210	jsx-text	Open logs folder
src/features/diagnostics/components/diagnostics-dialog.tsx:214	jsx-text	Copy summary
src/features/diagnostics/services/diagnosticLog.ts:178	prose	Unexpected error.
src/features/diagnostics/services/diagnosticsSummary.ts:5	prose	Leafdown diagnostics
src/features/document/services/markdownDocument.ts:36	prose-word	Markdown
src/features/document/services/markdownDocument.ts:54	prop:title	Save Markdown document
src/features/document/utils/documentErrors.ts:21	prop:title	Could not open Markdown file.
src/features/document/utils/documentErrors.ts:35	prop:title	Unsupported Markdown file type.
src/features/document/utils/documentErrors.ts:36	prop:description	Leafdown opens .md and .markdown files.
src/features/document/utils/documentErrors.ts:40	prop:title	Invalid Markdown file path.
src/features/document/utils/documentErrors.ts:45	prop:title	Markdown file not found.
src/features/document/utils/documentErrors.ts:50	prop:title	Permission denied opening Markdown file.
src/features/document/utils/documentErrors.ts:55	prop:title	Markdown file is too large.
src/features/document/utils/documentErrors.ts:56	template	{} selected. Files larger than {} do not load.
src/features/document/utils/documentErrors.ts:60	prop:title	Invalid Markdown file encoding.
src/features/document/utils/documentErrors.ts:61	prop:description	Leafdown opens Markdown files encoded as UTF-8.
src/features/document/utils/documentErrors.ts:65	prop:title	Could not read Markdown file.
src/features/document/utils/documentErrors.ts:70	prop:title	Could not inspect Markdown file.
src/features/document/utils/documentErrors.ts:91	prop:title	Could not save Markdown document.
src/features/document/utils/documentErrors.ts:105	prop:title	Unsupported save file type.
src/features/document/utils/documentErrors.ts:106	prop:description	Save Markdown documents as .md or .markdown files.
src/features/document/utils/documentErrors.ts:110	prop:title	Invalid save path.
src/features/document/utils/documentErrors.ts:115	prop:title	Saved Markdown file is missing.
src/features/document/utils/documentErrors.ts:120	prop:title	Save folder not found.
src/features/document/utils/documentErrors.ts:125	prop:title	Permission denied saving Markdown file.
src/features/document/utils/documentErrors.ts:130	prop:title	Markdown file changed outside Leafdown.
src/features/document/utils/documentErrors.ts:135	prop:title	Could not write Markdown file.
src/features/document/utils/documentErrors.ts:140	prop:title	Could not inspect saved Markdown file.
src/features/editor/commands/metadata.ts:4	command-label	Undo
src/features/editor/commands/metadata.ts:5	command-label	Redo
src/features/editor/commands/metadata.ts:6	command-label	Cut
src/features/editor/commands/metadata.ts:7	command-label	Copy
src/features/editor/commands/metadata.ts:8	command-label	Plain text
src/features/editor/commands/metadata.ts:9	command-label	Markdown
src/features/editor/commands/metadata.ts:10	command-label	HTML
src/features/editor/commands/metadata.ts:11	command-label	Rich text
src/features/editor/commands/metadata.ts:12	command-label	Paste
